//数据名称：覆盖范围Range（km）

产品号                 新3830产品表          新784_250产品表          新784_300产品表          WSR-98D_Build10_产品_C波段          WSR-98D_Build10_产品_S波段          
16                      75                  60                  75                 200                 230
17                     150                 125                 150                 400                 460
18                     150                 250                 300                 400                 460
19                      75                  60                  75                 200                 230
20                     150                 125                 150                 400                 460
21                     150                 250                 300                 400                 460
22                      75                  60                  75                  50                  60
23                     150                 125                 150                 100                 115
24                     150                 250                 300                 200                 230
25                      75                  60                  75                  50                  60
26                     150                 125                 150                 100                 115
27                     150                 250                 300                 200                 230
28                      75                  60                  75                  50                  60
29                     150                 125                 150                 100                 115
30                     150                 250                 300                 200                 230
31                       0                   0                   0                 200                 230
32                       0                   0                   0                 200                 230
33                       0                   0                   0                 200                 230
34                       0                   0                   0                 200                 230
35                     150                 120                 150                 200                 230
36                     300                 500                 600                 400                 460
37                     150                 120                 150                 200                 230
38                     300                 500                 600                 400                 460
39                     150                 120                 150                 200                 230
40                     300                 500                 600                 400                 460
41                     300                 250                 300                 200                 230
42                     300                 250                 300                 200                 230
43                      50                  50                  50                  50                  50
44                      50                  50                  50                  50                  50
45                      50                  50                  50                  50                  50
46                      50                  50                  50                  50                  50
47                     300                 250                 300                 200                 230
49                      50                  50                  50                  25                  25
50                     150                 125                 150                 200                 230
51                     150                 125                 150                 200                 230
52                     150                 125                 150                 200                 230
53                      50                  50                  50                  50                  50
55                      50                  50                  50                  50                  50
56                     150                 250                 300                 200                 230
57                     300                 250                 300                 200                 230
58                     150                 250                 200                 300                 345
59                     150                 250                 150                 400                 460
60                     150                 250                 150                 200                 230
61                     150                 250                 150                 200                 230
62                       0                   0                   0                 300                 345
63                     300                 250                 300                 400                 460
64                     300                 250                 300                 400                 460
65                     300                 250                 300                 400                 460
66                     300                 250                 300                 400                 460
67                       0                   0                   0                 400                 460
78                     150                 125                 150                 200                 230
79                     150                 125                 150                 200                 230
80                     150                 125                 150                 200                 230
85                     150                 125                 150                 200                 230
86                     150                 125                 150                 200                 230
87                     150                 120                 150                 200                 230
88                     150                 120                  50                 200                 230
89                     300                 250                 300                 400                 460
90                     300                 250                 300                 400                 460
110                    150                 250                 300                 200                 230
111                     75                  60                  75                  50                  60
112                    150                 125                 150                 100                 115
113                    150                 250                 300                 200                 230
114                     75                 125                 150                  50                  60
115                    150                 250                 300                 200                 230
116                      0                   0                   0                 200                 230
117                      0                   0                   0                 400                 460
118                      0                   0                   0                  50                  60
119                      0                   0                   0                 100                 115
120                      0                   0                   0                 200                 230
121                      0                   0                   0                  50                  60
122                      0                   0                   0                 100                 115
123                      0                   0                   0                 200                 230
124                      0                   0                   0                 200                 230
125                      0                   0                   0                  50                  60
126                      0                   0                   0                 100                 115
127                      0                   0                   0                 200                 230
128                      0                   0                   0                  50                  60
129                      0                   0                   0                 100                 115
130                      0                   0                   0                 200                 230
