//数据名称：分辨率Resolution（m）

产品号                 新3830产品表          新784_250产品表          新784_300产品表          WSR-98D_Build10_产品_C波段          WSR-98D_Build10_产品_S波段          
16                     0.3                0.25                 0.3                 0.5                 1.0
17                     0.6                 0.5                 0.6                 1.0                 2.0
18                     1.2                   1                 1.2                 2.0                 4.0
19                     0.3                0.25                 0.3                 0.5                 1.0
20                     0.6                 0.5                 0.6                 1.0                 2.0
21                     1.2                   1                 1.2                 2.0                 4.0
22                     0.3                0.25                 0.3               0.125                0.25
23                     0.6                 0.5                 0.6                0.25                 0.5
24                     1.2                   1                 1.2                 0.5                 1.0
25                     0.3                0.25                 0.3               0.125                0.25
26                     0.6                 0.5                 0.6                0.25                 0.5
27                     1.2                   1                 1.2                 0.5                 1.0
28                     0.3                0.25                 0.3               0.125                0.25
29                     0.6                 0.5                 0.6                0.25                 0.5
30                     1.2                   1                 1.2                 0.5                 1.0
31                       0                   0                   0                 1.0                 2.0
32                       0                   0                   0                 0.5                 1.0
33                       0                   0                   0                 0.5                 1.0
34                       0                   0                   0                 1.0                 1.0
35                     0.3                0.25                 0.3                 0.5                 1.0
36                     1.2                   1                 1.2                 2.0                 4.0
37                     0.3                0.25                 0.3                 0.5                 1.0
38                     1.2                   1                 1.2                 2.0                 4.0
39                     0.3                0.25                 0.3                 0.5                 1.0
40                     1.2                   1                 1.2                 2.0                 4.0
41                     1.2                   1                 1.2                 2.0                 4.0
42                     1.2                   1                 1.2                 2.0                 4.0
43                     0.3                0.25                 0.3                 0.5                 1.0
44                     0.3                0.25                 0.3               0.125                0.25
45                     0.3                0.25                 0.3               0.125                0.25
46                     0.6                 0.5                 0.6                0.25                 0.5
47                     1.2                   1                 1.2                 2.0                 4.0
48                       1                   1                   1                 2.0                 2.0
49                     0.6                 0.5                 0.6                 0.5                 0.5
50                     0.3                0.25                 0.3                 0.5                 1.0
51                     0.3                0.25                 0.3                 0.5                 1.0
52                     0.3                0.25                 0.3                 0.5                 1.0
53                     0.3                   0                 0.3                 0.5                 1.0
55                     0.3                0.25                 0.3                0.25                 0.5
56                     0.6                   1                 1.2                 0.5                 1.0
57                     1.2                   1                 1.2                 2.0                 4.0
63                     1.2                   1                 1.2                 2.0                 4.0
64                     1.2                   1                 1.2                 2.0                 4.0
65                     1.2                   1                 1.2                 2.0                 4.0
66                     1.2                   1                 1.2                 2.0                 4.0
67                       0                   0                   0                 2.0                 4.0
78                     0.6                 0.5                 0.6                 1.0                 2.0
79                     0.6                 0.5                 0.6                 1.0                 2.0
80                     0.6                 0.5                 0.6                 1.0                 2.0
84                       0                   0                   0                 2.5                 2.5
85                     0.3                0.25                 0.3                 0.5                 1.0
86                     0.3                0.25                 0.3                 0.5                 1.0
87                     0.6                 0.5                 0.6                 0.5                 1.0
88                     0.6                 0.5                 0.6                 0.5                 1.0
89                     1.2                   1                 1.2                 2.0                 4.0
90                     1.2                   1                 1.2                 2.0                 4.0
110                    0.6                   1                 1.2                 0.5                 1.0
111                    0.3                0.25                 0.3               0.125                0.25
112                    0.6                 0.5                 0.6                0.25                 0.5
113                    1.2                 1.2                 1.2                 0.5                 1.0
114                    0.6                 0.5                 0.6               0.125                0.25
115                    1.2                 1.2                 1.2                 0.5                 1.0
116                      0                   0                   0                 0.5                 1.0
117                      0                   0                   0                 1.0                 2.0
118                      0                   0                   0               0.125                0.25
119                      0                   0                   0                0.25                 0.5
120                      0                   0                   0                 0.5                 1.0
121                      0                   0                   0               0.125                0.25
122                      0                   0                   0                0.25                 0.5
123                      0                   0                   0                 0.5                 1.0
124                      0                   0                   0                 0.5                 1.0
125                      0                   0                   0               0.125                0.25
126                      0                   0                   0                0.25                 0.5
127                      0                   0                   0                 0.5                 1.0
128                      0                   0                   0               0.125                0.25
129                      0                   0                   0                0.25                 0.5
130                      0                   0                   0                 0.5                 1.0
